LIBRARY	PRECISION	POLICY	PLACES	DIM	GFLOPS	SYNTH
OBLAS	SP	SPREAD	CORE	2000	463,6435	SP-SPREAD
OBLAS	SP	SPREAD	CORE	3000	619,6714	SP-SPREAD
OBLAS	SP	SPREAD	CORE	4000	794,2977	SP-SPREAD
OBLAS	SP	SPREAD	CORE	5000	880,2209	SP-SPREAD
OBLAS	SP	SPREAD	CORE	6000	975,0798	SP-SPREAD
OBLAS	SP	SPREAD	CORE	7000	989,7978	SP-SPREAD
OBLAS	SP	SPREAD	CORE	8000	1051,076	SP-SPREAD
OBLAS	SP	SPREAD	CORE	9000	1098,886	SP-SPREAD
OBLAS	SP	SPREAD	CORE	10000	1198,294	SP-SPREAD
OBLAS	SP	SPREAD	CORE	11000	1190,715	SP-SPREAD
OBLAS	SP	SPREAD	CORE	12000	1316,338	SP-SPREAD
OBLAS	SP	SPREAD	CORE	13000	1350,655	SP-SPREAD
OBLAS	SP	SPREAD	CORE	14000	1504,946	SP-SPREAD
OBLAS	SP	SPREAD	CORE	15000	1584,275	SP-SPREAD
OBLAS	SP	SPREAD	CORE	16000	1595,862	SP-SPREAD
OBLAS	SP	SPREAD	CORE	17000	1603,617	SP-SPREAD
OBLAS	SP	SPREAD	CORE	18000	2201,231	SP-SPREAD
OBLAS	SP	SPREAD	CORE	19000	2102,791	SP-SPREAD
OBLAS	SP	SPREAD	CORE	20000	1951,175	SP-SPREAD
OBLAS	DP	SPREAD	CORE	2000	248,5419	DP-SPREAD
OBLAS	DP	SPREAD	CORE	3000	333,7935	DP-SPREAD
OBLAS	DP	SPREAD	CORE	4000	408,2026	DP-SPREAD
OBLAS	DP	SPREAD	CORE	5000	428,7409	DP-SPREAD
OBLAS	DP	SPREAD	CORE	6000	438,067	DP-SPREAD
OBLAS	DP	SPREAD	CORE	7000	464,9575	DP-SPREAD
OBLAS	DP	SPREAD	CORE	8000	508,2209	DP-SPREAD
OBLAS	DP	SPREAD	CORE	9000	553,7997	DP-SPREAD
OBLAS	DP	SPREAD	CORE	10000	601,5293	DP-SPREAD
OBLAS	DP	SPREAD	CORE	11000	684,2958	DP-SPREAD
OBLAS	DP	SPREAD	CORE	12000	743,4674	DP-SPREAD
OBLAS	DP	SPREAD	CORE	13000	796,6896	DP-SPREAD
OBLAS	DP	SPREAD	CORE	14000	720,7053	DP-SPREAD
OBLAS	DP	SPREAD	CORE	15000	838,3946	DP-SPREAD
OBLAS	DP	SPREAD	CORE	16000	1046,688	DP-SPREAD
OBLAS	DP	SPREAD	CORE	17000	826,6748	DP-SPREAD
OBLAS	DP	SPREAD	CORE	18000	788,5671	DP-SPREAD
OBLAS	DP	SPREAD	CORE	19000	798,4776	DP-SPREAD
OBLAS	DP	SPREAD	CORE	20000	961,8934	DP-SPREAD
MKL	SP	SPREAD	CORE	2000	503,6827	SP-SPREAD
MKL	SP	SPREAD	CORE	3000	1051,013	SP-SPREAD
MKL	SP	SPREAD	CORE	4000	1651,582	SP-SPREAD
MKL	SP	SPREAD	CORE	5000	2077,711	SP-SPREAD
MKL	SP	SPREAD	CORE	6000	2473,671	SP-SPREAD
MKL	SP	SPREAD	CORE	7000	2608,097	SP-SPREAD
MKL	SP	SPREAD	CORE	8000	2177,246	SP-SPREAD
MKL	SP	SPREAD	CORE	9000	1715,885	SP-SPREAD
MKL	SP	SPREAD	CORE	10000	1476,245	SP-SPREAD
MKL	SP	SPREAD	CORE	11000	1247,823	SP-SPREAD
MKL	SP	SPREAD	CORE	12000	1323,996	SP-SPREAD
MKL	SP	SPREAD	CORE	13000	1274,317	SP-SPREAD
MKL	SP	SPREAD	CORE	14000	1237,41	SP-SPREAD
MKL	SP	SPREAD	CORE	15000	1256,487	SP-SPREAD
MKL	SP	SPREAD	CORE	16000	1291,786	SP-SPREAD
MKL	SP	SPREAD	CORE	17000	1306,797	SP-SPREAD
MKL	SP	SPREAD	CORE	18000	1663,029	SP-SPREAD
MKL	SP	SPREAD	CORE	19000	1552,042	SP-SPREAD
MKL	SP	SPREAD	CORE	20000	1689,751	SP-SPREAD
MKL	DP	SPREAD	CORE	2000	418,8824	DP-SPREAD
MKL	DP	SPREAD	CORE	3000	693,7943	DP-SPREAD
MKL	DP	SPREAD	CORE	4000	757,2597	DP-SPREAD
MKL	DP	SPREAD	CORE	5000	679,9299	DP-SPREAD
MKL	DP	SPREAD	CORE	6000	681,2635	DP-SPREAD
MKL	DP	SPREAD	CORE	7000	709,7259	DP-SPREAD
MKL	DP	SPREAD	CORE	8000	742,4192	DP-SPREAD
MKL	DP	SPREAD	CORE	9000	772,4227	DP-SPREAD
MKL	DP	SPREAD	CORE	10000	798,6889	DP-SPREAD
MKL	DP	SPREAD	CORE	11000	821,6775	DP-SPREAD
MKL	DP	SPREAD	CORE	12000	868,2115	DP-SPREAD
MKL	DP	SPREAD	CORE	13000	907,6764	DP-SPREAD
MKL	DP	SPREAD	CORE	14000	854,5593	DP-SPREAD
MKL	DP	SPREAD	CORE	15000	848,8445	DP-SPREAD
MKL	DP	SPREAD	CORE	16000	1017,037	DP-SPREAD
MKL	DP	SPREAD	CORE	17000	883,2358	DP-SPREAD
MKL	DP	SPREAD	CORE	18000	850,4893	DP-SPREAD
MKL	DP	SPREAD	CORE	19000	866,2764	DP-SPREAD
MKL	DP	SPREAD	CORE	20000	978,8775	DP-SPREAD
OBLAS	SP	CLOSE	CORE	2000	670,6231	SP-CLOSE
OBLAS	SP	CLOSE	CORE	3000	1201,1794	SP-CLOSE
OBLAS	SP	CLOSE	CORE	4000	1692,8896	SP-CLOSE
OBLAS	SP	CLOSE	CORE	5000	1828,9628	SP-CLOSE
OBLAS	SP	CLOSE	CORE	6000	1730,8005	SP-CLOSE
OBLAS	SP	CLOSE	CORE	7000	1606,3494	SP-CLOSE
OBLAS	SP	CLOSE	CORE	8000	1641,3271	SP-CLOSE
OBLAS	SP	CLOSE	CORE	9000	1680,391	SP-CLOSE
OBLAS	SP	CLOSE	CORE	10000	1764,0923	SP-CLOSE
OBLAS	SP	CLOSE	CORE	11000	1716,6859	SP-CLOSE
OBLAS	SP	CLOSE	CORE	12000	1839,2234	SP-CLOSE
OBLAS	SP	CLOSE	CORE	13000	1879,286	SP-CLOSE
OBLAS	SP	CLOSE	CORE	14000	1959,3672	SP-CLOSE
OBLAS	SP	CLOSE	CORE	15000	1971,8051	SP-CLOSE
OBLAS	SP	CLOSE	CORE	16000	2052,3922	SP-CLOSE
