2000x2000x2000	0.044942 s	356.015543 GFLOPS
2000x2000x2000	0.026240 s	609.744990 GFLOPS
2000x2000x2000	0.024918 s	642.099743 GFLOPS
2000x2000x2000	0.024672 s	648.498048 GFLOPS
2000x2000x2000	0.023890 s	669.730516 GFLOPS
2000x2000x2000	0.025529 s	626.731002 GFLOPS
2000x2000x2000	0.025167 s	635.741195 GFLOPS
2000x2000x2000	0.024461 s	654.108359 GFLOPS
2000x2000x2000	0.024511 s	652.770462 GFLOPS
2000x2000x2000	0.024713 s	647.443031 GFLOPS
3000x3000x3000	0.044440 s	1215.115907 GFLOPS
3000x3000x3000	0.041888 s	1289.137375 GFLOPS
3000x3000x3000	0.044566 s	1211.681634 GFLOPS
3000x3000x3000	0.045323 s	1191.450627 GFLOPS
3000x3000x3000	0.046015 s	1173.530115 GFLOPS
3000x3000x3000	0.042779 s	1262.292744 GFLOPS
3000x3000x3000	0.043033 s	1254.859822 GFLOPS
3000x3000x3000	0.041430 s	1303.399682 GFLOPS
3000x3000x3000	0.041965 s	1286.794243 GFLOPS
3000x3000x3000	0.042884 s	1259.207165 GFLOPS
4000x4000x4000	0.072689 s	1760.917167 GFLOPS
4000x4000x4000	0.075390 s	1697.845769 GFLOPS
4000x4000x4000	0.076674 s	1669.401159 GFLOPS
4000x4000x4000	0.079279 s	1614.559085 GFLOPS
4000x4000x4000	0.077791 s	1645.426989 GFLOPS
4000x4000x4000	0.069696 s	1836.551033 GFLOPS
4000x4000x4000	0.077566 s	1650.206778 GFLOPS
4000x4000x4000	0.076499 s	1673.231639 GFLOPS
4000x4000x4000	0.068198 s	1876.877565 GFLOPS
4000x4000x4000	0.068283 s	1874.546118 GFLOPS
5000x5000x5000	0.120673 s	2071.718949 GFLOPS
5000x5000x5000	0.120934 s	2067.236640 GFLOPS
5000x5000x5000	0.119854 s	2085.876869 GFLOPS
5000x5000x5000	0.117044 s	2135.948728 GFLOPS
5000x5000x5000	0.120663 s	2071.885458 GFLOPS
5000x5000x5000	0.123156 s	2029.951034 GFLOPS
5000x5000x5000	0.121567 s	2056.483119 GFLOPS
5000x5000x5000	0.120388 s	2076.615741 GFLOPS
5000x5000x5000	0.115695 s	2160.845808 GFLOPS
5000x5000x5000	0.123817 s	2019.103628 GFLOPS
6000x6000x6000	0.235770 s	1832.294589 GFLOPS
6000x6000x6000	0.215699 s	2002.788689 GFLOPS
6000x6000x6000	0.228642 s	1889.414899 GFLOPS
6000x6000x6000	0.230359 s	1875.331650 GFLOPS
6000x6000x6000	0.241501 s	1788.812646 GFLOPS
6000x6000x6000	0.213394 s	2024.423621 GFLOPS
6000x6000x6000	0.218092 s	1980.817506 GFLOPS
6000x6000x6000	0.230240 s	1876.302833 GFLOPS
6000x6000x6000	0.228278 s	1892.428677 GFLOPS
6000x6000x6000	0.236314 s	1828.074262 GFLOPS
7000x7000x7000	0.499602 s	1373.092394 GFLOPS
7000x7000x7000	0.462421 s	1483.496233 GFLOPS
7000x7000x7000	0.465934 s	1472.310331 GFLOPS
7000x7000x7000	0.501166 s	1368.808814 GFLOPS
7000x7000x7000	0.469289 s	1461.787104 GFLOPS
7000x7000x7000	0.462593 s	1482.946122 GFLOPS
7000x7000x7000	0.476584 s	1439.409003 GFLOPS
7000x7000x7000	0.469016 s	1462.637040 GFLOPS
7000x7000x7000	0.461790 s	1485.524012 GFLOPS
7000x7000x7000	0.467086 s	1468.679317 GFLOPS
