2000x2000x2000	0.064923 s	246.445125 GFLOPS
2000x2000x2000	0.062449 s	256.209206 GFLOPS
2000x2000x2000	0.062232 s	257.103277 GFLOPS
7000x7000x7000	1.459039 s	470.172532 GFLOPS
7000x7000x7000	1.454892 s	471.512570 GFLOPS
7000x7000x7000	1.466320 s	467.837987 GFLOPS
12000x12000x12000	4.598037 s	751.625017 GFLOPS
12000x12000x12000	4.651169 s	743.039043 GFLOPS
12000x12000x12000	4.650028 s	743.221391 GFLOPS
17000x17000x17000	11.912614 s	824.839942 GFLOPS
17000x17000x17000	11.991675 s	819.401794 GFLOPS
17000x17000x17000	11.926379 s	823.887985 GFLOPS
