2000x2000x2000	0.049073 s	326.046121 GFLOPS
2000x2000x2000	0.045594 s	350.921612 GFLOPS
2000x2000x2000	0.045760 s	349.649960 GFLOPS
7000x7000x7000	1.300392 s	527.533130 GFLOPS
7000x7000x7000	1.270961 s	539.748931 GFLOPS
7000x7000x7000	1.289355 s	532.048896 GFLOPS
12000x12000x12000	2.846044 s	1214.316993 GFLOPS
12000x12000x12000	3.060386 s	1129.269416 GFLOPS
12000x12000x12000	3.547758 s	974.136284 GFLOPS
17000x17000x17000	7.649959 s	1284.451374 GFLOPS
17000x17000x17000	7.564737 s	1298.921536 GFLOPS
17000x17000x17000	7.620645 s	1289.392237 GFLOPS
